Time,Temperature °C,Humidity %,pTemperature °C,pressure,Lux
2021-09-18 19:41:51.882546,22,65,22.83,1018.147,910.8333
2021-09-18 19:41:57.076730,22,66,22.83,1018.15,910.8333
2021-09-18 19:42:02.193725,22,65,22.83,1018.155,910.8333
2021-09-18 19:42:07.314064,22,65,22.83,1018.151,913.3333
2021-09-18 19:42:12.412021,22,65,22.83,1018.143,910.8333
2021-09-18 19:42:17.495945,22,65,22.83,1018.14,911.6666
2021-09-18 19:42:22.665760,22,66,22.83,1018.135,911.6666
2021-09-18 19:42:27.788991,22,66,22.83,1018.135,911.6666
2021-09-18 19:42:32.913797,22,66,22.83,1018.143,911.6666
2021-09-18 19:42:37.996646,22,65,22.83,1018.14,911.6666
2021-09-18 19:42:43.150657,22,64,22.83,1018.13,911.6666
2021-09-18 19:42:48.266437,22,63,22.83,1018.128,911.6666
2021-09-18 19:42:53.363917,22,62,22.83,1018.13,911.6666
2021-09-18 19:42:58.448286,22,62,22.83,1018.135,911.6666
2021-09-18 19:43:03.634204,22,62,22.83,1018.143,912.4999
2021-09-18 19:43:08.742835,22,62,22.83,1018.141,912.4999
2021-09-18 19:43:13.870532,22,62,22.83,1018.14,911.6666
2021-09-18 19:43:18.990019,22,63,22.83,1018.14,911.6666
2021-09-18 19:43:24.102413,22,62,22.83,1018.135,912.4999
2021-09-18 19:43:29.224313,22,63,22.83,1018.126,911.6666
2021-09-18 19:43:34.343139,22,63,22.83,1018.133,912.4999
2021-09-18 19:43:39.442459,22,63,22.82,1018.138,912.4999
2021-09-18 19:43:44.538810,22,63,22.82,1018.146,911.6666
2021-09-18 19:43:49.711682,22,63,22.82,1018.149,911.6666
2021-09-18 19:43:54.819778,22,63,22.83,1018.149,911.6666
2021-09-18 19:43:59.952718,22,63,22.83,1018.156,911.6666
2021-09-18 19:44:05.038535,22,63,22.82,1018.162,911.6666
2021-09-18 19:44:10.193696,22,63,22.82,1018.155,912.4999
2021-09-18 19:44:15.312878,22,63,22.82,1018.15,912.4999
2021-09-18 19:44:20.403725,22,62,22.82,1018.155,912.4999
2021-09-18 19:44:25.505721,22,62,22.82,1018.161,912.4999
2021-09-18 19:44:30.669316,22,63,22.82,1018.168,912.4999
2021-09-18 19:44:35.791917,22,63,22.82,1018.17,912.4999
2021-09-18 19:44:40.914103,22,63,22.82,1018.167,912.4999
2021-09-18 19:44:46.031282,22,63,22.82,1018.174,913.3333
2021-09-18 19:44:51.153725,22,63,22.82,1018.181,912.4999
2021-09-18 19:44:56.253730,22,63,22.82,1018.182,913.3333
2021-09-18 19:45:01.353844,22,63,22.82,1018.182,912.4999
2021-09-18 19:45:06.445541,22,63,22.82,1018.17,913.3333
2021-09-18 19:45:11.628058,22,63,22.82,1018.163,912.4999
2021-09-18 19:45:16.749864,22,63,22.82,1018.16,913.3333
2021-09-18 19:45:21.868939,22,63,22.82,1018.163,913.3333
2021-09-18 19:45:26.984890,22,63,22.82,1018.17,912.4999
2021-09-18 19:45:32.119156,22,64,22.82,1018.175,913.3333
2021-09-18 19:45:37.245821,22,64,22.82,1018.177,912.4999
2021-09-18 19:45:42.350065,22,63,22.82,1018.181,912.4999
2021-09-18 19:45:47.455868,22,64,22.82,1018.19,912.4999
2021-09-18 19:45:52.545143,22,63,22.83,1018.199,913.3333
2021-09-18 19:45:57.715857,22,64,22.82,1018.2,913.3333
2021-09-18 19:46:02.833787,22,65,22.82,1018.202,912.4999
2021-09-18 19:46:07.952782,22,65,22.83,1018.204,914.1666
2021-09-18 19:46:13.072734,22,66,22.83,1018.206,911.6666
2021-09-18 19:46:18.197602,22,66,22.83,1018.211,913.3333
2021-09-18 19:46:23.285478,22,65,22.82,1018.212,912.4999
2021-09-18 19:46:28.376478,22,65,22.82,1018.217,913.3333
2021-09-18 19:46:33.463009,22,64,22.82,1018.205,913.3333
2021-09-18 19:46:38.565827,22,64,22.82,1018.197,913.3333
2021-09-18 19:46:43.696111,22,64,22.83,1018.202,914.1666
2021-09-18 19:46:48.799088,22,64,22.83,1018.196,914.1666
2021-09-18 19:46:53.918829,22,64,22.82,1018.2,913.3333
2021-09-18 19:46:59.046892,22,64,22.82,1018.202,913.3333
2021-09-18 19:47:04.175669,22,64,22.82,1018.21,913.3333
2021-09-18 19:47:09.285810,22,64,22.82,1018.215,914.1666
2021-09-18 19:47:14.398837,22,64,22.82,1018.218,914.1666
2021-09-18 19:47:19.521817,22,64,22.82,1018.218,913.3333
2021-09-18 19:47:24.646602,22,64,22.82,1018.217,913.3333
2021-09-18 19:47:29.769708,22,64,22.82,1018.212,914.1666
2021-09-18 19:47:34.892829,22,64,22.82,1018.22,914.1666
2021-09-18 19:47:40.001042,22,65,22.82,1018.217,914.1666
2021-09-18 19:47:45.125071,22,65,22.82,1018.228,913.3333
2021-09-18 19:47:50.217348,22,66,22.82,1018.233,914.1666
2021-09-18 19:47:55.368126,22,66,22.82,1018.238,913.3333
2021-09-18 19:48:00.459309,22,65,22.82,1018.239,914.1666
2021-09-18 19:48:05.600218,22,65,22.81,1018.239,914.1666
2021-09-18 19:48:10.733853,22,65,22.81,1018.243,914.1666
2021-09-18 19:48:15.848105,22,65,22.81,1018.246,914.1666
2021-09-18 19:48:20.968910,22,65,22.81,1018.245,914.1666
2021-09-18 19:48:26.085915,22,64,22.82,1018.246,914.1666
2021-09-18 19:48:31.198928,22,64,22.82,1018.248,914.1666
2021-09-18 19:48:36.332877,22,64,22.82,1018.256,914.1666
2021-09-18 19:48:41.438780,22,64,22.82,1018.251,914.1666
2021-09-18 19:48:46.526504,22,64,22.82,1018.253,914.1666
2021-09-18 19:48:51.686567,22,64,22.82,1018.255,913.3333
2021-09-18 19:48:56.804496,22,64,22.82,1018.254,914.1666
2021-09-18 19:49:01.933992,22,63,22.82,1018.25,914.1666
2021-09-18 19:49:07.021889,22,63,22.82,1018.248,914.9999
2021-09-18 19:49:12.163068,22,63,22.82,1018.246,914.1666
2021-09-18 19:49:17.291930,22,64,22.82,1018.241,914.1666
2021-09-18 19:49:22.386699,22,64,22.82,1018.244,914.9999
2021-09-18 19:49:27.482033,22,63,22.82,1018.248,914.9999
2021-09-18 19:49:32.649020,22,64,22.82,1018.254,914.9999
2021-09-18 19:49:37.769937,22,65,22.82,1018.255,914.9999
2021-09-18 19:49:42.891908,22,67,22.82,1018.257,915.8333
2021-09-18 19:49:48.005917,22,68,22.82,1018.262,914.9999
2021-09-18 19:49:53.123755,22,67,22.82,1018.257,914.9999
2021-09-18 19:49:58.243736,22,66,22.82,1018.263,914.1666
2021-09-18 19:50:03.361566,22,65,22.82,1018.265,914.9999
2021-09-18 19:50:08.460392,22,65,22.82,1018.268,914.9999
2021-09-18 19:50:13.609963,22,65,22.82,1018.27,915.8333
2021-09-18 19:50:18.720331,22,64,22.82,1018.27,914.9999
2021-09-18 19:50:23.851464,22,64,22.82,1018.266,914.9999
2021-09-18 19:50:28.960167,22,64,22.82,1018.267,914.9999
2021-09-18 19:50:34.087947,22,64,22.82,1018.272,914.9999
2021-09-18 19:50:39.204004,22,64,22.82,1018.272,914.9999
2021-09-18 19:50:44.326945,22,64,22.82,1018.269,914.1666
2021-09-18 19:50:49.449890,22,65,22.82,1018.266,914.9999
2021-09-18 19:50:54.569002,22,66,22.82,1018.261,914.9999
2021-09-18 19:50:59.689776,22,65,22.82,1018.263,914.9999
2021-09-18 19:51:04.811029,22,65,22.82,1018.268,914.9999
2021-09-18 19:51:09.925112,22,65,22.82,1018.267,914.9999
2021-09-18 19:51:15.055918,22,65,22.82,1018.274,914.9999
2021-09-18 19:51:20.175548,22,65,22.82,1018.27,914.1666
2021-09-18 19:51:25.298404,22,66,22.82,1018.268,915.8333
2021-09-18 19:51:30.402282,22,66,22.82,1018.265,914.9999
2021-09-18 19:51:35.522387,22,66,22.82,1018.273,914.9999
2021-09-18 19:51:40.650064,22,66,22.82,1018.27,914.9999
2021-09-18 19:51:45.772067,22,65,22.82,1018.266,914.9999
2021-09-18 19:51:50.898996,22,65,22.82,1018.264,914.9999
2021-09-18 19:51:56.007084,22,65,22.82,1018.269,0
2021-09-18 19:52:01.126039,22,65,22.81,1018.263,0
2021-09-18 19:52:06.256824,22,65,22.81,1018.271,0
2021-09-18 19:52:11.367825,22,65,22.81,1018.264,0
2021-09-18 19:52:16.490831,22,65,22.81,1018.264,0
2021-09-18 19:52:21.615086,22,65,22.8,1018.26,0
2021-09-18 19:52:26.734267,22,66,22.8,1018.26,0
2021-09-18 19:52:31.855248,22,66,22.79,1018.259,0
2021-09-18 19:52:36.962302,22,67,22.79,1018.258,0
2021-09-18 19:52:42.086129,22,67,22.79,1018.277,0
2021-09-18 19:52:47.218044,22,66,22.79,1018.273,0
2021-09-18 19:52:52.324692,22,66,22.79,1018.273,0
2021-09-18 19:52:57.447617,22,66,22.79,1018.268,0
2021-09-18 19:53:02.564101,22,66,22.79,1018.271,0
2021-09-18 19:53:07.684321,22,66,22.79,1018.265,0
2021-09-18 19:53:12.809939,22,66,22.78,1018.258,0
2021-09-18 19:53:17.929090,22,66,22.78,1018.254,0
2021-09-18 19:53:23.045152,22,66,22.78,1018.249,0
2021-09-18 19:53:28.162554,22,66,22.78,1018.255,0
2021-09-18 19:53:33.280709,22,67,22.77,1018.255,0
2021-09-18 19:53:38.400122,22,66,22.77,1018.261,0
2021-09-18 19:53:43.540321,22,66,22.77,1018.269,0
2021-09-18 19:53:48.649450,22,65,22.77,1018.279,0
2021-09-18 19:53:53.774507,22,65,22.77,1018.287,0
2021-09-18 19:53:58.883561,22,66,22.77,1018.287,0
2021-09-18 19:54:04.002090,22,66,22.77,1018.285,0
2021-09-18 19:54:09.120253,22,65,22.77,1018.279,0
2021-09-18 19:54:14.254703,22,65,22.76,1018.268,0
2021-09-18 19:54:19.378551,22,65,22.76,1018.263,0
2021-09-18 19:54:24.489202,22,66,22.76,1018.265,0
2021-09-18 19:54:29.614043,22,66,22.76,1018.273,0
2021-09-18 19:54:34.718796,22,67,22.76,1018.27,0
2021-09-18 19:54:39.848803,22,67,22.76,1018.271,0
2021-09-18 19:54:44.971114,22,67,22.76,1018.273,0
2021-09-18 19:54:50.087163,22,66,22.76,1018.269,0
2021-09-18 19:54:55.206793,22,66,22.76,1018.27,0
2021-09-18 19:55:00.326524,22,66,22.76,1018.279,0
2021-09-18 19:55:05.455480,22,66,22.75,1018.287,0
2021-09-18 19:55:10.563297,22,65,22.75,1018.283,0
2021-09-18 19:55:15.687664,22,65,22.75,1018.282,0
2021-09-18 19:55:20.801268,22,65,22.75,1018.287,0
2021-09-18 19:55:25.921923,22,64,22.75,1018.291,0
2021-09-18 19:55:31.044236,22,64,22.75,1018.298,0
2021-09-18 19:55:36.171460,22,63,22.75,1018.297,0
2021-09-18 19:55:41.285040,22,64,22.75,1018.302,0
2021-09-18 19:55:46.409171,22,63,22.75,1018.307,0
2021-09-18 19:55:51.532852,22,64,22.75,1018.309,0
2021-09-18 19:55:56.637704,22,64,22.74,1018.31,0
2021-09-18 19:56:01.760960,22,64,22.74,1018.307,0
2021-09-18 19:56:06.887516,22,64,22.74,1018.302,0
2021-09-18 19:56:12.001096,22,64,22.74,1018.302,0
2021-09-18 19:56:17.129827,22,64,22.74,1018.308,0
2021-09-18 19:56:22.237305,22,64,22.73,1018.309,0
2021-09-18 19:56:27.363455,22,64,22.73,1018.319,0
2021-09-18 19:56:32.488167,22,64,22.73,1018.322,0
2021-09-18 19:56:37.609723,22,64,22.73,1018.327,0
2021-09-18 19:56:42.738415,22,64,22.73,1018.326,0
2021-09-18 19:56:47.821053,22,64,22.73,1018.324,0
2021-09-18 19:56:52.975893,22,64,22.73,1018.32,0
2021-09-18 19:56:58.085191,22,64,22.72,1018.319,0
2021-09-18 19:57:03.207799,22,65,22.72,1018.325,0
