Time,Temperature °C,Humidity %,pTemperature °C,pressure,Lux,Moisture Sensor
2021-11-23 18:19:29.609851,19,75,19.99,1027.803,1.666667,680
2021-11-23 18:19:34.708377,19,76,19.98,1027.807,1.666667,681
2021-11-23 18:19:39.815805,19,76,19.96,1027.804,1.666667,680
2021-11-23 18:19:44.969813,19,76,19.95,1027.804,1.666667,680
2021-11-23 18:19:50.082873,18,76,19.95,1027.806,1.666667,681
2021-11-23 18:19:55.178473,18,76,19.94,1027.806,1.666667,680
2021-11-23 18:20:00.335807,18,76,19.92,1027.797,1.666667,680
2021-11-23 18:20:05.448817,18,76,19.91,1027.802,1.666667,680
2021-11-23 18:20:10.595451,18,76,19.9,1027.806,1.666667,680
2021-11-23 18:20:15.796453,18,76,19.9,1027.809,1.666667,680
2021-11-23 18:20:20.913813,18,76,19.89,1027.81,1.666667,680
2021-11-23 18:20:26.017628,18,76,19.88,1027.809,1.666667,681
2021-11-23 18:20:31.209810,18,76,19.87,1027.806,1.666667,681
2021-11-23 18:20:36.375955,18,76,19.87,1027.806,1.666667,680
2021-11-23 18:20:41.461768,18,76,19.86,1027.81,1.666667,680
2021-11-23 18:20:46.604804,18,76,19.85,1027.804,1.666667,680
2021-11-23 18:20:51.710308,18,76,19.84,1027.796,1.666667,680
2021-11-23 18:20:56.805249,18,76,19.84,1027.798,1.666667,680
2021-11-23 18:21:01.974805,18,76,19.83,1027.806,1.666667,680
2021-11-23 18:21:07.118624,18,76,19.83,1027.798,1.666667,680
2021-11-23 18:21:12.313848,18,76,19.82,1027.797,1.666667,680
2021-11-23 18:21:17.445833,18,77,19.82,1027.8,1.666667,680
2021-11-23 18:21:22.547456,18,76,19.81,1027.797,1.666667,680
2021-11-23 18:21:27.685579,18,76,19.81,1027.798,1.666667,681
2021-11-23 18:21:32.802247,18,76,19.8,1027.801,1.666667,680
2021-11-23 18:21:37.921929,18,76,19.8,1027.8,1.666667,681
2021-11-23 18:21:43.039021,18,76,19.79,1027.802,1.666667,681
2021-11-23 18:21:48.156723,18,77,19.79,1027.801,1.666667,680
2021-11-23 18:21:53.301835,18,77,19.78,1027.799,1.666667,680
2021-11-23 18:21:58.491622,18,77,19.78,1027.802,1.666667,680
2021-11-23 18:22:03.619762,18,77,19.77,1027.801,1.666667,680
2021-11-23 18:22:08.706512,18,77,19.77,1027.797,1.666667,680
2021-11-23 18:22:13.799518,18,77,19.77,1027.793,1.666667,680
2021-11-23 18:22:18.983135,18,77,19.76,1027.786,1.666667,680
2021-11-23 18:22:24.101822,18,77,19.76,1027.789,1.666667,680
2021-11-23 18:22:29.195667,18,77,19.76,1027.792,1.666667,680
2021-11-23 18:22:34.312813,18,77,19.75,1027.786,1.666667,680
2021-11-23 18:22:39.467847,18,77,19.75,1027.784,1.666667,680
2021-11-23 18:22:44.567477,18,77,19.75,1027.782,1.666667,681
2021-11-23 18:22:49.705805,18,77,19.75,1027.782,1.666667,680
2021-11-23 18:22:54.834803,18,77,19.74,1027.786,1.666667,680
2021-11-23 18:22:59.946807,18,77,19.74,1027.779,1.666667,680
2021-11-23 18:23:05.060810,18,77,19.74,1027.791,1.666667,680
