Time,Temperature °C,Humidity %,pTemperature °C,pressure
2021-09-07 16:22:42.443998,23,57,23,1023
2021-09-07 16:22:52.574719,23,57,23,1023
2021-09-07 16:23:02.698967,23,58,23,1023
2021-09-07 16:23:12.844546,23,58,23,1023
2021-09-07 16:23:22.973434,23,58,23,1023
2021-09-07 16:23:33.067611,23,58,23,1023
2021-09-07 16:23:43.256514,23,58,23,1023
2021-09-07 16:23:53.396060,23,58,23,1023
2021-09-07 16:24:03.481685,23,58,23,1023
2021-09-07 16:24:08.033827,23,58,23,1023
2021-09-07 16:24:18.181224,23,58,23,1023
2021-09-07 16:24:28.312300,23,58,23,1023
2021-09-07 16:24:38.466857,23,58,22,1023
2021-09-07 16:24:48.809760,23,59,22,1023
2021-09-07 16:24:59.137386,23,59,23,1023
2021-09-07 16:25:09.266065,23,59,23,1023
2021-09-07 16:25:19.367744,23,59,22,1023
2021-09-07 16:25:29.587118,23,59,22,1023
2021-09-07 16:25:39.888484,23,59,22,1023
2021-09-07 16:25:50.335694,23,59,22,1023
2021-09-07 16:26:00.472669,23,59,22,1023
2021-09-07 16:26:10.609882,23,59,22,1023
2021-09-07 16:26:21.170631,23,59,22,1023
2021-09-07 16:26:31.289830,23,59,22,1023
2021-09-07 16:26:41.775803,23,59,22,1023
2021-09-07 16:26:51.975842,23,59,22,1023
2021-09-07 16:27:02.112046,23,59,22,1023
2021-09-07 16:27:12.253520,23,59,22,1023
2021-09-07 16:27:22.394248,23,59,22,1023
2021-09-07 16:27:32.479910,23,59,22,1023
2021-09-07 16:27:42.670491,23,59,22,1023
2021-09-07 16:27:52.795700,23,59,22,1023
2021-09-07 16:28:02.947049,23,60,22,1023
2021-09-07 16:28:13.095708,23,60,22,1023
2021-09-07 16:28:23.215593,23,60,22,1023
2021-09-07 16:28:33.345168,23,60,22,1023
2021-09-07 16:28:43.500135,23,60,22,1023
2021-09-07 16:28:53.625048,23,60,22,1023
2021-09-07 16:29:03.768368,23,60,22,1023
2021-09-07 16:29:13.907221,23,60,22,1023
2021-09-07 16:29:24.036007,23,60,22,1023
2021-09-07 16:29:34.126555,23,60,22,1023
2021-09-07 16:29:44.316158,23,60,22,1023
2021-09-07 16:29:54.399901,23,60,22,1023
2021-09-07 16:30:04.593847,23,60,22,1023
2021-09-07 16:30:14.733616,23,60,22,1023
2021-09-07 16:30:24.861822,23,60,22,1023
2021-09-07 16:30:34.948030,23,60,22,1023
2021-09-07 16:30:45.133621,23,60,22,1023
2021-09-07 16:30:55.220790,23,60,22,1023
2021-09-07 16:31:05.316659,23,60,22,1023
2021-09-07 16:31:15.463396,23,60,22,1023
2021-09-07 16:31:25.594669,23,60,22,1023
2021-09-07 16:31:35.728378,23,60,22,1023
2021-09-07 16:31:45.914713,23,60,22,1023
2021-09-07 16:31:56.108472,23,60,22,1023
2021-09-07 16:32:06.237607,23,60,22,1023
2021-09-07 16:32:16.389085,23,60,22,1023
2021-09-07 16:32:26.484419,23,60,22,1023
2021-09-07 16:32:36.664847,23,60,22,1023
2021-09-07 16:32:46.823315,23,60,22,1023
2021-09-07 16:32:56.933807,23,60,22,1023
2021-09-07 16:33:07.077857,23,60,22,1023
2021-09-07 16:33:17.191101,23,60,22,1023
2021-09-07 16:33:27.347337,23,60,22,1023
2021-09-07 16:33:37.439056,23,60,22,1023
2021-09-07 16:33:47.659491,23,60,22,1023
2021-09-07 16:33:57.764672,23,60,22,1023
2021-09-07 16:34:07.900475,23,60,22,1023
2021-09-07 16:34:17.998148,23,60,22,1023
2021-09-07 16:34:28.276080,23,60,22,1023
2021-09-07 16:34:38.365218,23,60,22,1023
2021-09-07 16:34:48.543126,23,60,22,1023
2021-09-07 16:34:58.714370,23,60,22,1023
2021-09-07 16:35:08.826569,23,60,22,1023
2021-09-07 16:35:18.954269,23,60,22,1023
2021-09-07 16:35:29.118415,23,60,22,1023
2021-09-07 16:35:39.240606,22,60,22,1023
2021-09-07 16:35:49.380338,22,60,22,1023
2021-09-07 16:35:59.515174,22,60,22,1023
2021-09-07 16:36:09.640894,23,60,22,1023
2021-09-07 16:36:19.783103,22,60,22,1023
2021-09-07 16:36:29.919862,22,61,22,1023
2021-09-07 16:36:40.062748,22,60,22,1023
2021-09-07 16:36:50.189502,22,60,22,1023
2021-09-07 16:37:00.346257,22,61,22,1023
2021-09-07 16:37:10.437421,22,61,22,1023
